,CATEGORY,Title,Date,Views,Introduction,Text (1st paragraph)
0,—,—,—,—,—,—
1,Криминал,Сотрудница новосибирского автовокзала вынесла полмиллиона рублей из кассы,"26 февраля 2024, 18:40",9168,Дело сибирячки рассмотрели в суде,"В Новосибирске суд рассмотрел уголовное дело кассира автовокзала. Женщину признали виновной в присвоении полумиллиона рублей, который принадлежит предприятию."
2,Зима,"Как сеять перец на рассаду, чтобы быстро получить всходы — видеоинструкция от новосибирского агронома","27 февраля 2024, 08:45",3881,Важно заделать семена на правильную глубину,"Новосибирский агроном показала, как правильно сеять перцы на рассаду, чтобы получить крепкие растения. Важно заделать семена на достаточную глубину, чтобы не получить брак."
3,Дороги и транспорт,"Новосибирец оплатил 108 штрафов за нарушение ПДД, чтобы у него не отняли десять КАМАЗов","27 февраля 2024, 11:03",3088,Он заплатил почти 200 тысяч рублей,"Новосибирский предприниматель заплатил почти 200 тысяч за 108 штрафов, выписанных за нарушение ПДД. Он сделал это, чтобы снять запрет на регистрацию машин."
4,—,—,—,—,—,—
5,—,—,—,—,—,—
6,Происшествия,Задержанные ФСБ террористы находились в Новосибирской области — они собирали деньги для боевиков,"26 февраля 2024, 21:00",9996,Задержания проводили в 22 регионах по всей России,"Силовики задержали 49 членов международной террористической организации «Катиба Таухид валь-Джихад»* (террористическая организация, запрещена в РФ) за финансирование боевиков в Сирии. Информацию об этом распространил Центр общественных связей ФСБ России."
7,Страна и мир,"«Ей нужны деньги, дети ей не нужны». Многодетная мать собирается в суд из-за сыновей, пропавших в боях на Украине","27 февраля 2024, 13:00",2545,Двое сыновей Ларисы перестали выходить на связь,"Жительница Петербурга обратилась в полицию с заявлением, что сразу двое ее сыновей, находящихся в зоне СВО, перестали выходить на связь. У женщины есть еще четверо сыновей. Они уверены: мать на самом деле не ищет своих детей, которых в свое время бросила, а хочет, чтобы их официально признали погибшими, из корыстных побуждений. Подробности этой истории в материале наших коллег из «Фонтанки»."
8,Зима,Весна совсем близко: каким будет 1 марта в Новосибирске — прогнозы сервисов,"27 февраля 2024, 07:50",5890,Вместе с теплом придут и осадки,"Через несколько дней в Новосибирске наступит календарная весна, и многие ждут прихода тепла. Мы изучили прогнозы сервисов, что ждет горожан 1 марта после февральских морозов и грозы. "
9,Животные,Сибирячка продает черного «мраморного» котенка с сердечком на боку за 90 тысяч рублей — почему такая цена,"27 февраля 2024, 10:15",11507,На породистое животное уходит много средств,В Новосибирске выставили на продажу двух котят сибирской породы — каждое животное оценили в 90 тысяч рублей. У одной из кошечек из-за необычного окраса на боку получилось сердечко.
10,Происшествия,Стоял на обочине: Mercedes-Benz сломался в мороз на новосибирской дороге — в салоне была семья с ребенком,"26 февраля 2024, 22:10",6691,Пассажирам и водителю помогли автоинспекторы,"Новосибирские автоинспекторы пришли на помощь семье с ребенком, которая осталась на дороге в 34-градусный мороз из-за сломавшегося автомобиля. Об этом сообщили в пресс-службе ГУ МВД России по региону."
